"date","deaths_total","death_covid","death_covid_contrib","death_unknown_missing"
2020-07-15,4,2,2,0
2020-07-16,3,3,0,0
2020-07-17,3,3,0,0
2020-07-18,3,3,0,0
2020-07-19,1,1,0,0
2020-07-20,1,1,0,0
2020-07-21,1,1,0,0
2020-07-22,1,1,0,0
2020-07-23,1,1,0,0
2020-07-24,2,1,1,0
2020-07-25,2,1,0,1
2020-07-26,3,3,0,0
2020-07-27,1,1,0,0
2020-07-28,2,2,0,0
2020-07-29,1,0,1,0
2020-07-30,2,2,0,0
2020-07-31,0,0,0,0
2020-08-01,3,3,0,0
2020-08-02,1,1,0,0
2020-08-03,0,0,0,0
2020-08-04,0,0,0,0
2020-08-05,1,1,0,0
2020-08-06,3,2,1,0
2020-08-07,1,1,0,0
2020-08-08,0,0,0,0
2020-08-09,0,0,0,0
2020-08-10,1,1,0,0
2020-08-11,1,1,0,0
2020-08-12,0,0,0,0
2020-08-13,1,0,0,1
2020-08-14,0,0,0,0
2020-08-15,1,0,1,0
2020-08-16,1,0,1,0
2020-08-17,1,0,1,0
2020-08-18,3,1,1,1
2020-08-19,1,1,0,0
2020-08-20,2,1,0,1
2020-08-21,0,0,0,0
2020-08-22,0,0,0,0
2020-08-23,1,0,1,0
2020-08-24,0,0,0,0
2020-08-25,0,0,0,0
2020-08-26,0,0,0,0
2020-08-27,1,1,0,0
2020-08-28,0,0,0,0
2020-08-29,0,0,0,0
2020-08-30,1,1,0,0
2020-08-31,0,0,0,0
2020-09-01,2,2,0,0
2020-09-02,0,0,0,0
2020-09-03,1,1,0,0
2020-09-04,0,0,0,0
2020-09-05,1,1,0,0
2020-09-06,0,0,0,0
2020-09-07,2,2,0,0
2020-09-08,0,0,0,0
2020-09-09,1,1,0,0
2020-09-10,1,0,1,0
2020-09-11,1,1,0,0
2020-09-12,2,1,1,0
2020-09-13,2,1,1,0
2020-09-14,2,0,2,0
2020-09-15,1,0,1,0
2020-09-16,1,0,1,0
2020-09-17,7,2,3,2
2020-09-18,1,1,0,0
2020-09-19,2,0,2,0
2020-09-20,1,1,0,0
2020-09-21,0,0,0,0
2020-09-22,2,2,0,0
2020-09-23,1,0,1,0
2020-09-24,4,2,2,0
2020-09-25,3,0,3,0
2020-09-26,4,3,1,0
2020-09-27,2,1,1,0
2020-09-28,2,1,1,0
2020-09-29,5,1,4,0
2020-09-30,1,1,0,0
2020-10-01,6,3,3,0
2020-10-02,2,0,2,0
2020-10-03,7,6,1,0
2020-10-04,5,4,1,0
2020-10-05,0,0,0,0
2020-10-06,4,1,2,1
2020-10-07,4,3,1,0
2020-10-08,7,5,2,0
2020-10-09,7,6,1,0
2020-10-10,8,6,2,0
2020-10-11,2,2,0,0
2020-10-12,4,3,1,0
2020-10-13,7,5,1,1
2020-10-14,7,4,1,2
2020-10-15,7,6,1,0
2020-10-16,7,3,3,1
2020-10-17,6,4,1,1
2020-10-18,9,7,2,0
2020-10-19,8,7,1,0
2020-10-20,5,4,1,0
2020-10-21,10,5,4,1
2020-10-22,7,7,0,0
2020-10-23,7,5,2,0
2020-10-24,13,9,4,0
2020-10-25,4,3,1,0
2020-10-26,8,5,3,0
2020-10-27,6,4,1,1
2020-10-28,17,15,2,0
2020-10-29,12,7,4,1
2020-10-30,12,7,5,0
2020-10-31,8,7,1,0
2020-11-01,11,7,4,0
2020-11-02,17,12,4,1
2020-11-03,17,13,4,0
2020-11-04,14,11,3,0
2020-11-05,7,3,4,0
2020-11-06,16,10,6,0
2020-11-07,22,13,9,0
2020-11-08,15,11,4,0
2020-11-09,19,17,1,1
2020-11-10,26,21,5,0
2020-11-11,20,14,5,1
2020-11-12,12,7,4,1
2020-11-13,25,13,11,1
2020-11-14,20,13,7,0
2020-11-15,15,14,1,0
2020-11-16,20,16,3,1
2020-11-17,15,11,4,0
2020-11-18,13,10,2,1
2020-11-19,20,18,1,1
2020-11-20,19,17,2,0
2020-11-21,18,15,3,0
2020-11-22,18,15,3,0
2020-11-23,23,19,4,0
2020-11-24,16,14,2,0
2020-11-25,25,19,5,1
2020-11-26,16,13,3,0
2020-11-27,20,14,6,0
2020-11-28,21,13,5,3
2020-11-29,18,12,3,3
2020-11-30,22,15,5,2
2020-12-01,27,15,12,0
2020-12-02,27,18,6,3
2020-12-03,17,9,4,4
2020-12-04,21,13,6,2
2020-12-05,23,15,6,2
2020-12-06,26,12,8,6
2020-12-07,19,10,4,5
2020-12-08,35,24,3,8
2020-12-09,32,17,9,6
2020-12-10,21,17,2,2
2020-12-11,23,14,7,2
2020-12-12,42,23,13,6
2020-12-13,28,17,7,4
2020-12-14,31,19,10,2
2020-12-15,38,27,10,1
2020-12-16,26,17,5,4
2020-12-17,35,27,5,3
2020-12-18,42,24,15,3
2020-12-19,37,27,9,1
2020-12-20,36,25,9,2
2020-12-21,36,23,13,0
2020-12-22,47,30,15,2
2020-12-23,41,31,7,3
2020-12-24,48,32,13,3
2020-12-25,33,26,7,0
2020-12-26,44,32,10,2
2020-12-27,44,31,8,5
2020-12-28,38,26,10,2
2020-12-29,50,39,10,1
2020-12-30,46,32,13,1
2020-12-31,54,41,12,1
2021-01-01,53,38,12,3
2021-01-02,42,29,10,3
2021-01-03,49,39,7,3
2021-01-04,58,40,18,0
2021-01-05,51,42,7,2
2021-01-06,51,35,11,5
2021-01-07,50,41,7,2
2021-01-08,47,29,15,3
2021-01-09,65,54,7,4
2021-01-10,51,40,8,3
2021-01-11,52,45,5,2
2021-01-12,44,30,9,5
2021-01-13,55,38,14,3
2021-01-14,46,32,11,3
2021-01-15,52,39,10,3
2021-01-16,68,48,15,5
2021-01-17,79,64,13,2
2021-01-18,57,41,12,4
2021-01-19,65,49,14,2
2021-01-20,54,40,11,3
2021-01-21,65,51,10,4
2021-01-22,55,38,13,4
2021-01-23,57,43,8,6
2021-01-24,51,40,9,2
2021-01-25,54,39,13,2
2021-01-26,64,46,18,0
2021-01-27,47,36,8,3
2021-01-28,48,37,6,5
2021-01-29,53,37,13,3
2021-01-30,56,48,6,2
2021-01-31,42,31,9,2
2021-02-01,41,32,8,1
2021-02-02,49,35,10,4
2021-02-03,34,22,9,3
2021-02-04,40,29,9,2
2021-02-05,25,19,4,2
2021-02-06,31,22,7,2
2021-02-07,20,14,3,3
2021-02-08,30,27,3,0
2021-02-09,29,16,12,1
2021-02-10,31,26,4,1
2021-02-11,19,18,1,0
2021-02-12,26,19,6,1
2021-02-13,15,12,2,1
2021-02-14,29,21,7,1
2021-02-15,19,14,5,0
2021-02-16,20,16,3,1
2021-02-17,32,21,8,3
2021-02-18,19,11,8,0
2021-02-19,16,11,4,1
2021-02-20,16,11,5,0
2021-02-21,14,13,1,0
2021-02-22,14,8,4,2
2021-02-23,18,14,3,1
2021-02-24,13,10,3,0
2021-02-25,15,11,4,0
2021-02-26,16,14,1,1
2021-02-27,7,4,3,0
2021-02-28,11,7,2,2
2021-03-01,13,6,5,2
2021-03-02,18,15,2,1
2021-03-03,13,11,2,0
2021-03-04,9,6,3,0
2021-03-05,12,8,2,2
2021-03-06,11,10,1,0
2021-03-07,12,8,3,1
2021-03-08,15,14,1,0
2021-03-09,13,9,4,0
2021-03-10,11,7,3,1
2021-03-11,14,10,3,1
2021-03-12,12,8,3,1
2021-03-13,11,6,5,0
2021-03-14,8,8,0,0
2021-03-15,10,8,2,0
2021-03-16,16,12,2,2
2021-03-17,15,8,6,1
2021-03-18,11,7,1,3
2021-03-19,18,14,2,2
2021-03-20,4,3,1,0
2021-03-21,8,5,3,0
2021-03-22,14,11,2,1
2021-03-23,15,10,5,0
2021-03-24,19,16,1,2
2021-03-25,17,15,2,0
2021-03-26,19,17,2,0
2021-03-27,16,13,0,3
2021-03-28,19,15,4,0
2021-03-29,20,14,5,1
2021-03-30,15,14,1,0
2021-03-31,16,13,3,0
2021-04-01,19,15,2,2
2021-04-02,11,9,1,1
2021-04-03,13,10,2,1
2021-04-04,25,19,5,1
2021-04-05,23,19,2,2
2021-04-06,16,11,5,0
2021-04-07,25,18,5,2
2021-04-08,19,10,6,3
2021-04-09,31,26,5,0
2021-04-10,23,22,0,1
2021-04-11,27,23,4,0
2021-04-12,31,25,4,2
2021-04-13,38,30,6,2
2021-04-14,23,17,2,4
2021-04-15,25,18,2,5
2021-04-16,22,19,3,0
2021-04-17,33,31,2,0
2021-04-18,34,27,4,3
2021-04-19,36,26,9,1
2021-04-20,29,25,3,1
2021-04-21,22,16,3,3
2021-04-22,44,40,2,2
2021-04-23,30,27,2,1
2021-04-24,34,29,5,0
2021-04-25,37,31,5,1
2021-04-26,38,32,4,2
2021-04-27,34,27,6,1
2021-04-28,31,27,4,0
2021-04-29,23,18,4,1
2021-04-30,27,23,3,1
2021-05-01,38,27,6,5
2021-05-02,22,22,0,0
2021-05-03,29,25,3,1
2021-05-04,30,25,1,4
2021-05-05,24,22,1,1
2021-05-06,34,27,4,3
2021-05-07,37,33,2,2
2021-05-08,33,31,2,0
2021-05-09,24,21,2,1
2021-05-10,23,21,2,0
2021-05-11,27,24,3,0
2021-05-12,32,23,7,2
2021-05-13,23,22,0,1
2021-05-14,14,11,3,0
2021-05-15,20,19,1,0
2021-05-16,17,13,4,0
2021-05-17,21,15,3,3
2021-05-18,22,19,3,0
2021-05-19,22,20,2,0
2021-05-20,23,18,5,0
2021-05-21,18,15,1,2
2021-05-22,29,24,2,3
2021-05-23,13,11,1,1
2021-05-24,15,13,2,0
2021-05-25,20,18,2,0
2021-05-26,21,16,5,0
2021-05-27,16,14,2,0
2021-05-28,27,21,5,1
2021-05-29,23,18,4,1
2021-05-30,15,13,2,0
2021-05-31,16,12,4,0
2021-06-01,10,10,0,0
2021-06-02,16,12,3,1
2021-06-03,10,9,1,0
2021-06-04,12,10,1,1
2021-06-05,15,13,1,1
2021-06-06,10,10,0,0
2021-06-07,10,10,0,0
2021-06-08,6,5,1,0
2021-06-09,11,6,4,1
2021-06-10,2,1,1,0
2021-06-11,2,2,0,0
2021-06-12,5,4,1,0
2021-06-13,9,7,2,0
2021-06-14,8,7,0,1
2021-06-15,4,3,1,0
2021-06-16,4,3,1,0
2021-06-17,9,7,1,1
2021-06-18,4,3,1,0
2021-06-19,2,1,1,0
2021-06-20,9,7,1,1
2021-06-21,8,6,1,1
2021-06-22,3,3,0,0
2021-06-23,8,7,1,0
2021-06-24,4,4,0,0
2021-06-25,0,0,0,0
2021-06-26,6,6,0,0
2021-06-27,6,4,2,0
2021-06-28,2,1,1,0
2021-06-29,6,1,5,0
2021-06-30,3,2,1,0
2021-07-01,5,4,1,0
2021-07-02,5,2,3,0
2021-07-03,3,3,0,0
2021-07-04,5,4,1,0
2021-07-05,7,5,2,0
2021-07-06,5,5,0,0
2021-07-07,5,5,0,0
2021-07-08,7,6,0,1
2021-07-09,6,3,3,0
2021-07-10,4,3,1,0
2021-07-11,4,3,1,0
2021-07-12,5,2,3,0
2021-07-13,8,5,3,0
2021-07-14,3,2,0,1
2021-07-15,3,2,1,0
2021-07-16,6,6,0,0
2021-07-17,0,0,0,0
2021-07-18,2,2,0,0
2021-07-19,2,2,0,0
2021-07-20,3,1,2,0
2021-07-21,3,2,1,0
2021-07-22,2,1,1,0
2021-07-23,0,0,0,0
2021-07-24,3,2,1,0
2021-07-25,2,2,0,0
2021-07-26,0,0,0,0
2021-07-27,3,2,1,0
2021-07-28,3,2,1,0
2021-07-29,4,2,2,0
2021-07-30,3,3,0,0
2021-07-31,0,0,0,0
2021-08-01,5,4,1,0
2021-08-02,0,0,0,0
2021-08-03,1,1,0,0
2021-08-04,2,2,0,0
2021-08-05,2,2,0,0
2021-08-06,2,1,1,0
2021-08-07,0,0,0,0
2021-08-08,0,0,0,0
2021-08-09,3,3,0,0
2021-08-10,3,3,0,0
2021-08-11,1,1,0,0
2021-08-12,1,1,0,0
2021-08-13,1,1,0,0
2021-08-14,2,2,0,0
2021-08-15,1,1,0,0
2021-08-16,2,2,0,0
2021-08-17,3,3,0,0
2021-08-18,1,1,0,0
2021-08-19,2,2,0,0
2021-08-20,1,0,1,0
2021-08-21,1,1,0,0
2021-08-22,2,2,0,0
2021-08-23,0,0,0,0
2021-08-24,2,2,0,0
2021-08-25,5,4,1,0
2021-08-26,2,2,0,0
2021-08-27,1,1,0,0
2021-08-28,5,4,1,0
2021-08-29,2,1,1,0
2021-08-30,4,4,0,0
2021-08-31,5,3,2,0
2021-09-01,3,3,0,0
2021-09-02,3,2,0,1
2021-09-03,5,5,0,0
2021-09-04,8,8,0,0
2021-09-05,5,4,1,0
2021-09-06,6,5,0,1
2021-09-07,5,5,0,0
2021-09-08,5,5,0,0
2021-09-09,9,6,0,3
2021-09-10,9,9,0,0
2021-09-11,8,6,2,0
2021-09-12,4,3,1,0
2021-09-13,4,2,0,2
2021-09-14,6,6,0,0
2021-09-15,4,4,0,0
2021-09-16,4,2,1,1
2021-09-17,11,10,1,0
2021-09-18,5,5,0,0
2021-09-19,2,2,0,0
2021-09-20,5,3,2,0
2021-09-21,6,5,1,0
2021-09-22,7,5,0,2
2021-09-23,3,1,2,0
2021-09-24,5,5,0,0
2021-09-25,9,9,0,0
2021-09-26,3,3,0,0
2021-09-27,6,5,1,0
2021-09-28,7,5,2,0
2021-09-29,5,4,1,0
2021-09-30,5,2,2,1
2021-10-01,4,4,0,0
2021-10-02,3,3,0,0
2021-10-03,6,6,0,0
2021-10-04,5,4,1,0
2021-10-05,4,4,0,0
2021-10-06,6,6,0,0
2021-10-07,4,4,0,0
2021-10-08,6,2,2,2
2021-10-09,6,4,1,1
2021-10-10,3,1,2,0
2021-10-11,2,2,0,0
2021-10-12,4,3,1,0
2021-10-13,4,2,2,0
2021-10-14,3,3,0,0
2021-10-15,3,3,0,0
2021-10-16,2,1,1,0
2021-10-17,3,3,0,0
2021-10-18,4,4,0,0
2021-10-19,6,5,1,0
2021-10-20,6,5,1,0
2021-10-21,8,8,0,0
2021-10-22,5,5,0,0
2021-10-23,1,1,0,0
2021-10-24,8,6,2,0
2021-10-25,2,2,0,0
2021-10-26,6,5,1,0
2021-10-27,0,0,0,0
2021-10-28,4,4,0,0
2021-10-29,3,1,1,1
2021-10-30,6,6,0,0
2021-10-31,2,2,0,0
2021-11-01,4,3,1,0
2021-11-02,4,3,0,1
2021-11-03,2,1,1,0
2021-11-04,4,4,0,0
2021-11-05,5,4,1,0
2021-11-06,4,4,0,0
2021-11-07,5,4,0,1
2021-11-08,6,5,1,0
2021-11-09,2,2,0,0
2021-11-10,5,4,1,0
2021-11-11,6,5,0,1
2021-11-12,7,5,1,1
2021-11-13,5,4,1,0
2021-11-14,2,1,1,0
2021-11-15,4,3,1,0
2021-11-16,6,6,0,0
2021-11-17,6,5,1,0
2021-11-18,6,3,2,1
2021-11-19,6,3,3,0
2021-11-20,7,6,1,0
2021-11-21,2,2,0,0
2021-11-22,4,2,2,0
2021-11-23,5,4,0,1
2021-11-24,6,6,0,0
2021-11-25,2,2,0,0
2021-11-26,4,3,1,0
2021-11-27,3,3,0,0
2021-11-28,4,2,2,0
2021-11-29,4,2,1,1
2021-11-30,7,6,1,0
2021-12-01,4,2,2,0
2021-12-02,7,6,1,0
2021-12-03,5,4,1,0
2021-12-04,8,5,0,3
2021-12-05,10,9,1,0
2021-12-06,6,4,2,0
2021-12-07,6,5,1,0
2021-12-08,8,7,1,0
2021-12-09,4,3,1,0
2021-12-10,13,8,4,1
2021-12-11,4,4,0,0
2021-12-12,2,2,0,0
2021-12-13,6,2,4,0
2021-12-14,6,4,2,0
2021-12-15,10,9,1,0
2021-12-16,4,3,1,0
2021-12-17,8,6,2,0
2021-12-18,9,5,4,0
2021-12-19,6,4,2,0
2021-12-20,4,4,0,0
2021-12-21,9,9,0,0
2021-12-22,3,3,0,0
2021-12-23,14,11,1,2
2021-12-24,12,9,3,0
2021-12-25,5,5,0,0
2021-12-26,6,4,2,0
2021-12-27,8,8,0,0
2021-12-28,9,6,3,0
2021-12-29,19,17,1,1
2021-12-30,11,7,2,2
2021-12-31,24,17,4,3
2022-01-01,12,10,1,1
2022-01-02,22,12,7,3
2022-01-03,23,16,6,1
2022-01-04,17,15,2,0
2022-01-05,31,21,8,2
2022-01-06,30,22,7,1
2022-01-07,27,23,4,0
2022-01-08,40,23,15,2
2022-01-09,37,31,6,0
2022-01-10,51,39,8,4
2022-01-11,54,35,15,4
2022-01-12,37,25,9,3
2022-01-13,52,34,16,2
2022-01-14,47,34,12,1
2022-01-15,67,49,16,2
2022-01-16,72,50,21,1
2022-01-17,60,40,19,1
2022-01-18,56,41,15,0
2022-01-19,63,49,11,3
2022-01-20,69,43,22,4
2022-01-21,63,45,15,3
2022-01-22,81,57,20,4
2022-01-23,87,65,18,4
2022-01-24,51,40,9,2
2022-01-25,73,55,13,5
2022-01-26,67,51,12,4
2022-01-27,56,45,9,2
2022-01-28,56,41,13,2
2022-01-29,58,41,14,3
2022-01-30,59,44,15,0
2022-01-31,55,43,10,2
2022-02-01,44,32,11,1
2022-02-02,48,33,14,1
2022-02-03,53,33,14,6
2022-02-04,51,38,10,3
2022-02-05,47,32,13,2
2022-02-06,35,25,9,1
2022-02-07,34,26,8,0
2022-02-08,38,22,15,1
2022-02-09,36,26,9,1
2022-02-10,27,21,5,1
2022-02-11,31,24,6,1
2022-02-12,28,18,10,0
2022-02-13,24,19,4,1
2022-02-14,27,18,9,0
2022-02-15,17,7,10,0
2022-02-16,26,19,7,0
2022-02-17,26,14,11,1
2022-02-18,30,18,12,0
2022-02-19,25,21,3,1
2022-02-20,26,18,5,3
2022-02-21,22,14,7,1
2022-02-22,20,14,4,2
2022-02-23,16,10,6,0
2022-02-24,15,8,7,0
2022-02-25,11,8,3,0
2022-02-26,15,9,6,0
2022-02-27,14,9,5,0
2022-02-28,12,8,4,0
2022-03-01,14,12,2,0
2022-03-02,14,8,6,0
2022-03-03,14,8,6,0
2022-03-04,10,5,5,0
2022-03-05,14,12,2,0
2022-03-06,15,9,6,0
2022-03-07,8,5,3,0
2022-03-08,9,8,1,0
2022-03-09,8,6,1,1
2022-03-10,8,5,3,0
2022-03-11,9,4,5,0
2022-03-12,6,3,3,0
2022-03-13,6,4,2,0
2022-03-14,10,4,5,1
2022-03-15,10,5,5,0
2022-03-16,9,7,2,0
2022-03-17,6,4,2,0
2022-03-18,15,14,1,0
2022-03-19,8,5,3,0
2022-03-20,12,8,4,0
2022-03-21,5,3,2,0
2022-03-22,9,4,5,0
2022-03-23,7,6,1,0
2022-03-24,7,4,1,2
2022-03-25,10,6,4,0
2022-03-26,7,4,2,1
2022-03-27,6,4,2,0
2022-03-28,10,7,2,1
2022-03-29,7,5,1,1
2022-03-30,13,9,4,0
2022-03-31,10,6,4,0
2022-04-01,7,3,4,0
2022-04-02,8,6,2,0
2022-04-03,15,10,5,0
2022-04-04,6,4,2,0
2022-04-05,8,5,3,0
2022-04-06,10,6,4,0
2022-04-07,12,6,5,1
2022-04-08,7,2,5,0
2022-04-09,8,4,4,0
2022-04-10,18,9,8,1
2022-04-11,12,7,5,0
2022-04-12,13,9,3,1
2022-04-13,22,14,8,0
2022-04-14,15,12,2,1
2022-04-15,13,8,3,2
2022-04-16,20,14,6,0
2022-04-17,19,11,8,0
2022-04-18,20,11,8,1
2022-04-19,9,4,5,0
2022-04-20,22,13,8,1
2022-04-21,15,9,6,0
2022-04-22,20,11,9,0
2022-04-23,4,3,1,0
2022-04-24,15,9,6,0
2022-04-25,15,11,4,0
2022-04-26,20,14,4,2
2022-04-27,11,10,1,0
2022-04-28,23,13,9,1
2022-04-29,13,7,5,1
2022-04-30,15,9,5,1
2022-05-01,21,14,7,0
2022-05-02,27,14,9,4
2022-05-03,13,8,4,1
2022-05-04,24,16,7,1
2022-05-05,15,10,5,0
2022-05-06,20,13,5,2
2022-05-07,19,13,5,1
2022-05-08,19,15,3,1
2022-05-09,13,11,2,0
2022-05-10,13,6,7,0
2022-05-11,11,8,3,0
2022-05-12,14,12,2,0
2022-05-13,13,7,6,0
2022-05-14,15,11,4,0
2022-05-15,9,3,6,0
2022-05-16,10,7,3,0
2022-05-17,8,2,6,0
2022-05-18,14,10,4,0
2022-05-19,10,5,3,2
2022-05-20,11,5,6,0
2022-05-21,11,8,1,2
2022-05-22,9,3,5,1
2022-05-23,13,6,7,0
2022-05-24,10,7,3,0
2022-05-25,7,5,2,0
2022-05-26,10,4,6,0
2022-05-27,6,3,2,1
2022-05-28,4,1,3,0
2022-05-29,12,5,7,0
2022-05-30,12,7,3,2
2022-05-31,6,4,2,0
2022-06-01,6,4,2,0
2022-06-02,8,5,2,1
2022-06-03,5,1,4,0
2022-06-04,4,4,0,0
2022-06-05,8,2,6,0
2022-06-06,6,4,2,0
2022-06-07,5,4,1,0
2022-06-08,5,4,1,0
2022-06-09,6,5,1,0
2022-06-10,4,3,1,0
2022-06-11,6,5,1,0
2022-06-12,8,3,4,1
2022-06-13,0,0,0,0
2022-06-14,4,2,2,0
2022-06-15,2,1,1,0
2022-06-16,5,1,4,0
2022-06-17,3,2,1,0
2022-06-18,4,2,1,1
2022-06-19,3,1,2,0
2022-06-20,3,2,1,0
2022-06-21,4,2,2,0
2022-06-22,4,4,0,0
2022-06-23,4,2,2,0
2022-06-24,2,1,1,0
2022-06-25,10,9,1,0
2022-06-26,7,3,4,0
2022-06-27,7,2,5,0
2022-06-28,7,3,4,0
2022-06-29,3,2,1,0
2022-06-30,4,3,1,0
2022-07-01,7,6,1,0
2022-07-02,3,1,2,0
2022-07-03,13,8,5,0
2022-07-04,3,1,2,0
2022-07-05,4,2,2,0
2022-07-06,2,1,1,0
2022-07-07,7,2,4,1
2022-07-08,10,7,3,0
2022-07-09,4,1,3,0
2022-07-10,4,3,1,0
2022-07-11,3,2,1,0
2022-07-12,8,6,2,0
2022-07-13,11,7,3,1
2022-07-14,6,3,2,1
2022-07-15,12,4,8,0
2022-07-16,12,10,2,0
2022-07-17,12,9,3,0
2022-07-18,14,10,4,0
2022-07-19,12,8,2,2
2022-07-20,16,11,5,0
2022-07-21,11,5,6,0
2022-07-22,17,10,7,0
2022-07-23,15,13,2,0
2022-07-24,19,14,5,0
2022-07-25,14,9,4,1
2022-07-26,10,9,1,0
2022-07-27,16,7,7,2
2022-07-28,17,10,7,0
2022-07-29,8,6,2,0
2022-07-30,13,11,2,0
2022-07-31,19,14,5,0
2022-08-01,15,11,3,1
2022-08-02,18,11,6,1
2022-08-03,14,7,5,2
2022-08-04,14,12,2,0
2022-08-05,18,10,6,2
2022-08-06,20,12,8,0
2022-08-07,8,3,4,1
2022-08-08,11,4,7,0
2022-08-09,10,4,6,0
2022-08-10,10,3,7,0
2022-08-11,15,8,7,0
2022-08-12,11,5,5,1
2022-08-13,11,6,5,0
2022-08-14,7,5,1,1
2022-08-15,10,9,1,0
2022-08-16,16,7,8,1
2022-08-17,15,8,6,1
2022-08-18,15,9,6,0
2022-08-19,10,6,4,0
2022-08-20,17,11,6,0
2022-08-21,17,9,6,2
2022-08-22,22,15,7,0
2022-08-23,15,10,5,0
2022-08-24,11,6,4,1
2022-08-25,12,5,7,0
2022-08-26,14,9,5,0
2022-08-27,16,11,4,1
2022-08-28,9,7,2,0
2022-08-29,16,10,6,0
2022-08-30,13,7,6,0
2022-08-31,7,3,4,0
2022-09-01,17,12,5,0
2022-09-02,12,7,4,1
2022-09-03,12,8,3,1
2022-09-04,9,5,4,0
2022-09-05,13,10,3,0
2022-09-06,15,12,3,0
2022-09-07,13,9,4,0
2022-09-08,9,7,2,0
2022-09-09,10,6,4,0
2022-09-10,6,2,4,0
2022-09-11,11,7,4,0
2022-09-12,12,4,5,3
2022-09-13,21,17,4,0
2022-09-14,11,6,4,1
2022-09-15,7,5,1,1
2022-09-16,5,2,1,2
2022-09-17,10,3,7,0
2022-09-18,12,7,5,0
2022-09-19,15,6,9,0
2022-09-20,8,6,2,0
2022-09-21,8,5,3,0
2022-09-22,10,7,3,0
2022-09-23,13,7,5,1
2022-09-24,10,6,4,0
2022-09-25,9,3,5,1
2022-09-26,7,6,1,0
2022-09-27,10,4,6,0
2022-09-28,10,9,1,0
2022-09-29,8,6,2,0
2022-09-30,15,10,4,1
2022-10-01,15,11,4,0
2022-10-02,11,9,2,0
2022-10-03,19,13,5,1
2022-10-04,12,8,4,0
2022-10-05,7,3,4,0
2022-10-06,17,11,6,0
2022-10-07,21,11,10,0
2022-10-08,11,7,4,0
2022-10-09,16,8,8,0
2022-10-10,14,7,6,1
2022-10-11,20,7,13,0
2022-10-12,21,14,7,0
2022-10-13,14,10,4,0
2022-10-14,12,4,8,0
2022-10-15,23,11,12,0
